recommend_id,recommendation_category,evidence_summary,content_id,metadata_json
recommend_001,personalized_match,user_001의 rnb/indie 취향과 calm/night 분위기에 직접 연결되는 곡,track_001,"{""catalog"":{""content_id"":""track_001"",""title"":""Midnight Loop"",""artist"":""Nova Lane"",""album"":""Night Sketch"",""genres"":[""rnb"",""indie""],""moods"":[""calm"",""night""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""genre_match"":true,""mood_match"":true,""tempo_match"":true,""new_taste_expansion"":false},""reason_tags"":[""rnb"",""indie"",""calm"",""night""]}"
recommend_002,night_playlist,밤 시간대 감상에 적합한 calm/night 무드의 미디엄 템포 곡,track_001,"{""catalog"":{""content_id"":""track_001"",""title"":""Midnight Loop"",""artist"":""Nova Lane"",""album"":""Night Sketch"",""genres"":[""rnb"",""indie""],""moods"":[""calm"",""night""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""genre_match"":false,""mood_match"":true,""tempo_match"":true,""new_taste_expansion"":false},""reason_tags"":[""night"",""calm"",""medium_tempo""]}"
recommend_003,genre_anchor,rnb와 indie가 함께 포함되어 사용자의 기존 취향 기준점으로 쓰기 좋은 곡,track_001,"{""catalog"":{""content_id"":""track_001"",""title"":""Midnight Loop"",""artist"":""Nova Lane"",""album"":""Night Sketch"",""genres"":[""rnb"",""indie""],""moods"":[""calm"",""night""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""genre_match"":true,""mood_match"":false,""tempo_match"":true,""new_taste_expansion"":false},""reason_tags"":[""rnb"",""indie"",""anchor_track""]}"
recommend_004,mood_recovery,차분한 분위기를 선호하는 사용자에게 이탈 방지용으로 제안하기 좋은 곡,track_001,"{""catalog"":{""content_id"":""track_001"",""title"":""Midnight Loop"",""artist"":""Nova Lane"",""album"":""Night Sketch"",""genres"":[""rnb"",""indie""],""moods"":[""calm"",""night""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""genre_match"":true,""mood_match"":true,""tempo_match"":true,""retention_support"":true},""reason_tags"":[""calm"",""retention"",""soft_recommendation""]}"
recommend_005,similar_taste,기존 rnb 취향과 가까우면서 indie 감성을 함께 제공하는 유사 취향 후보,track_001,"{""catalog"":{""content_id"":""track_001"",""title"":""Midnight Loop"",""artist"":""Nova Lane"",""album"":""Night Sketch"",""genres"":[""rnb"",""indie""],""moods"":[""calm"",""night""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""genre_match"":true,""mood_match"":true,""tempo_match"":true},""reason_tags"":[""similar_taste"",""rnb"",""indie""]}"
recommend_006,contextual_match,야간 청취 맥락에서 부담 없이 추천할 수 있는 부드러운 분위기의 곡,track_001,"{""catalog"":{""content_id"":""track_001"",""title"":""Midnight Loop"",""artist"":""Nova Lane"",""album"":""Night Sketch"",""genres"":[""rnb"",""indie""],""moods"":[""calm"",""night""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""context_match"":true,""mood_match"":true,""tempo_match"":true},""reason_tags"":[""night_context"",""calm"",""medium_tempo""]}"
recommend_007,safe_default,취향 정보가 부족한 사용자에게도 무난하게 제안 가능한 안정적인 추천 후보,track_001,"{""catalog"":{""content_id"":""track_001"",""title"":""Midnight Loop"",""artist"":""Nova Lane"",""album"":""Night Sketch"",""genres"":[""rnb"",""indie""],""moods"":[""calm"",""night""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""safe_default"":true,""mood_match"":true,""tempo_match"":true},""reason_tags"":[""safe_default"",""calm"",""rnb""]}"
recommend_008,album_pick,Night Sketch 앨범의 대표 분위기를 보여주는 곡으로 앨범 단위 탐색에 적합,track_001,"{""catalog"":{""content_id"":""track_001"",""title"":""Midnight Loop"",""artist"":""Nova Lane"",""album"":""Night Sketch"",""genres"":[""rnb"",""indie""],""moods"":[""calm"",""night""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""album_context"":true,""mood_match"":true,""genre_match"":true},""reason_tags"":[""album_pick"",""Night Sketch"",""night""]}"
recommend_009,similar_taste,기존 rnb 취향과 가까운 soul 계열의 부드러운 유사 취향 후보,track_002,"{""catalog"":{""content_id"":""track_002"",""title"":""Velvet Echo"",""artist"":""June Park"",""album"":""Echo Room"",""genres"":[""rnb"",""soul""],""moods"":[""calm"",""soft""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""genre_match"":true,""mood_match"":true,""tempo_match"":true},""reason_tags"":[""rnb"",""soul"",""similar_taste""]}"
recommend_010,soft_mood,calm/soft 분위기를 선호하는 사용자에게 적합한 부드러운 추천곡,track_002,"{""catalog"":{""content_id"":""track_002"",""title"":""Velvet Echo"",""artist"":""June Park"",""album"":""Echo Room"",""genres"":[""rnb"",""soul""],""moods"":[""calm"",""soft""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""genre_match"":true,""mood_match"":true,""tempo_match"":true},""reason_tags"":[""calm"",""soft"",""medium_tempo""]}"
recommend_011,genre_bridge,rnb에서 soul 장르로 자연스럽게 확장할 수 있는 브릿지 추천,track_002,"{""catalog"":{""content_id"":""track_002"",""title"":""Velvet Echo"",""artist"":""June Park"",""album"":""Echo Room"",""genres"":[""rnb"",""soul""],""moods"":[""calm"",""soft""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""genre_match"":true,""mood_match"":true,""new_taste_expansion"":true},""reason_tags"":[""rnb_to_soul"",""taste_expansion""]}"
recommend_012,retention_candidate,강한 자극보다 안정적인 감상을 원하는 사용자에게 잔류 유도용으로 적합,track_002,"{""catalog"":{""content_id"":""track_002"",""title"":""Velvet Echo"",""artist"":""June Park"",""album"":""Echo Room"",""genres"":[""rnb"",""soul""],""moods"":[""calm"",""soft""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""retention_support"":true,""mood_match"":true,""tempo_match"":true},""reason_tags"":[""retention"",""calm"",""soft""]}"
recommend_013,artist_discovery,June Park 아티스트 탐색을 시작하기 좋은 대표 무드의 곡,track_002,"{""catalog"":{""content_id"":""track_002"",""title"":""Velvet Echo"",""artist"":""June Park"",""album"":""Echo Room"",""genres"":[""rnb"",""soul""],""moods"":[""calm"",""soft""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""artist_context"":true,""mood_match"":true,""genre_match"":true},""reason_tags"":[""artist_discovery"",""June Park"",""soul""]}"
recommend_014,playlist_fit,차분한 R&B/Soul 플레이리스트에 자연스럽게 들어갈 수 있는 곡,track_002,"{""catalog"":{""content_id"":""track_002"",""title"":""Velvet Echo"",""artist"":""June Park"",""album"":""Echo Room"",""genres"":[""rnb"",""soul""],""moods"":[""calm"",""soft""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""playlist_fit"":true,""genre_match"":true,""mood_match"":true},""reason_tags"":[""playlist"",""rnb"",""soul""]}"
recommend_015,low_risk_recommend,선호 장르와 분위기가 모두 안정적으로 맞아 추천 실패 위험이 낮은 후보,track_002,"{""catalog"":{""content_id"":""track_002"",""title"":""Velvet Echo"",""artist"":""June Park"",""album"":""Echo Room"",""genres"":[""rnb"",""soul""],""moods"":[""calm"",""soft""],""tempo"":""medium"",""release_type"":""existing_catalog""},""match_reason"":{""low_risk"":true,""genre_match"":true,""mood_match"":true},""reason_tags"":[""low_risk"",""calm"",""rnb""]}"
recommend_016,new_release,최근 업데이트 곡이며 indie 취향과 일부 연결되는 신보 후보,track_003,"{""catalog"":{""content_id"":""track_003"",""title"":""Fresh Signal"",""artist"":""Mira Tone"",""album"":""Updated Signal"",""genres"":[""indie"",""electro_pop""],""moods"":[""bright"",""clean""],""tempo"":""medium"",""release_type"":""new_release""},""match_reason"":{""genre_match"":true,""new_release"":true,""new_taste_expansion"":true},""reason_tags"":[""new_release"",""indie"",""electro_pop""]}"
recommend_017,fresh_discovery,bright/clean 무드로 기존 calm 취향에서 산뜻한 방향으로 확장 가능한 곡,track_003,"{""catalog"":{""content_id"":""track_003"",""title"":""Fresh Signal"",""artist"":""Mira Tone"",""album"":""Updated Signal"",""genres"":[""indie"",""electro_pop""],""moods"":[""bright"",""clean""],""tempo"":""medium"",""release_type"":""new_release""},""match_reason"":{""mood_contrast"":true,""new_taste_expansion"":true,""new_release"":true},""reason_tags"":[""bright"",""clean"",""fresh""]}"
recommend_018,tempo_compatible,미디엄 템포라 기존 청취 흐름을 크게 깨지 않고 신보 탐색에 적합,track_003,"{""catalog"":{""content_id"":""track_003"",""title"":""Fresh Signal"",""artist"":""Mira Tone"",""album"":""Updated Signal"",""genres"":[""indie"",""electro_pop""],""moods"":[""bright"",""clean""],""tempo"":""medium"",""release_type"":""new_release""},""match_reason"":{""tempo_match"":true,""new_release"":true,""new_taste_expansion"":true},""reason_tags"":[""medium_tempo"",""new_release""]}"
recommend_019,genre_expansion,indie 기반에서 electro_pop으로 취향 확장을 시도할 수 있는 곡,track_003,"{""catalog"":{""content_id"":""track_003"",""title"":""Fresh Signal"",""artist"":""Mira Tone"",""album"":""Updated Signal"",""genres"":[""indie"",""electro_pop""],""moods"":[""bright"",""clean""],""tempo"":""medium"",""release_type"":""new_release""},""match_reason"":{""genre_match"":true,""new_taste_expansion"":true},""reason_tags"":[""indie_to_electro_pop"",""taste_expansion""]}"
recommend_020,catalog_update,신규/업데이트 카탈로그 노출을 늘리기 위한 추천 후보,track_003,"{""catalog"":{""content_id"":""track_003"",""title"":""Fresh Signal"",""artist"":""Mira Tone"",""album"":""Updated Signal"",""genres"":[""indie"",""electro_pop""],""moods"":[""bright"",""clean""],""tempo"":""medium"",""release_type"":""new_release""},""match_reason"":{""catalog_update"":true,""new_release"":true},""reason_tags"":[""catalog_update"",""new_release""]}"
recommend_021,contrast_pick,차분한 곡 위주 사용자에게 밝고 깔끔한 대비감을 제공하는 곡,track_003,"{""catalog"":{""content_id"":""track_003"",""title"":""Fresh Signal"",""artist"":""Mira Tone"",""album"":""Updated Signal"",""genres"":[""indie"",""electro_pop""],""moods"":[""bright"",""clean""],""tempo"":""medium"",""release_type"":""new_release""},""match_reason"":{""mood_contrast"":true,""new_taste_expansion"":true},""reason_tags"":[""contrast"",""bright"",""clean""]}"
recommend_022,discovery_candidate,새로운 장르 반응을 확인하기 위한 탐색형 추천 후보,track_003,"{""catalog"":{""content_id"":""track_003"",""title"":""Fresh Signal"",""artist"":""Mira Tone"",""album"":""Updated Signal"",""genres"":[""indie"",""electro_pop""],""moods"":[""bright"",""clean""],""tempo"":""medium"",""release_type"":""new_release""},""match_reason"":{""exploration"":true,""new_taste_expansion"":true,""new_release"":true},""reason_tags"":[""exploration"",""electro_pop"",""new_release""]}"
recommend_023,campaign_candidate,신보 캠페인이나 업데이트 알림에 연결하기 좋은 추천 콘텐츠,track_003,"{""catalog"":{""content_id"":""track_003"",""title"":""Fresh Signal"",""artist"":""Mira Tone"",""album"":""Updated Signal"",""genres"":[""indie"",""electro_pop""],""moods"":[""bright"",""clean""],""tempo"":""medium"",""release_type"":""new_release""},""match_reason"":{""campaign_fit"":true,""new_release"":true},""reason_tags"":[""campaign"",""new_release"",""bright""]}"
recommend_024,discovery_candidate,calm/night 분위기와 연결되면서 dream_pop 계열로 확장 가능한 곡,track_004,"{""catalog"":{""content_id"":""track_004"",""title"":""Soft Orbit"",""artist"":""Luna Field"",""album"":""Orbit Notes"",""genres"":[""dream_pop"",""ambient""],""moods"":[""calm"",""night"",""soft""],""tempo"":""slow"",""release_type"":""existing_catalog""},""match_reason"":{""mood_match"":true,""new_taste_expansion"":true},""reason_tags"":[""dream_pop"",""ambient"",""calm"",""night""]}"
recommend_025,night_playlist,느린 템포와 night 무드가 맞아 야간 플레이리스트에 적합한 곡,track_004,"{""catalog"":{""content_id"":""track_004"",""title"":""Soft Orbit"",""artist"":""Luna Field"",""album"":""Orbit Notes"",""genres"":[""dream_pop"",""ambient""],""moods"":[""calm"",""night"",""soft""],""tempo"":""slow"",""release_type"":""existing_catalog""},""match_reason"":{""mood_match"":true,""tempo_slow"":true,""playlist_fit"":true},""reason_tags"":[""night"",""slow"",""ambient""]}"
recommend_026,ambient_bridge,기존 calm 선호를 ambient/dream_pop으로 넓힐 수 있는 브릿지 추천,track_004,"{""catalog"":{""content_id"":""track_004"",""title"":""Soft Orbit"",""artist"":""Luna Field"",""album"":""Orbit Notes"",""genres"":[""dream_pop"",""ambient""],""moods"":[""calm"",""night"",""soft""],""tempo"":""slow"",""release_type"":""existing_catalog""},""match_reason"":{""mood_match"":true,""new_taste_expansion"":true},""reason_tags"":[""calm_to_ambient"",""dream_pop""]}"
recommend_027,deep_mood,차분하고 부유감 있는 분위기를 원하는 사용자에게 적합한 깊은 무드의 곡,track_004,"{""catalog"":{""content_id"":""track_004"",""title"":""Soft Orbit"",""artist"":""Luna Field"",""album"":""Orbit Notes"",""genres"":[""dream_pop"",""ambient""],""moods"":[""calm"",""night"",""soft""],""tempo"":""slow"",""release_type"":""existing_catalog""},""match_reason"":{""mood_match"":true,""tempo_slow"":true},""reason_tags"":[""deep_mood"",""soft"",""calm""]}"
recommend_028,slow_tempo_pick,느린 템포 선호 또는 휴식 맥락에 맞춰 추천하기 좋은 곡,track_004,"{""catalog"":{""content_id"":""track_004"",""title"":""Soft Orbit"",""artist"":""Luna Field"",""album"":""Orbit Notes"",""genres"":[""dream_pop"",""ambient""],""moods"":[""calm"",""night"",""soft""],""tempo"":""slow"",""release_type"":""existing_catalog""},""match_reason"":{""tempo_slow"":true,""context_match"":true,""mood_match"":true},""reason_tags"":[""slow_tempo"",""rest"",""soft""]}"
recommend_029,soft_recommendation,강한 비트보다 부드럽고 잔잔한 청취 경험을 제공하는 추천 후보,track_004,"{""catalog"":{""content_id"":""track_004"",""title"":""Soft Orbit"",""artist"":""Luna Field"",""album"":""Orbit Notes"",""genres"":[""dream_pop"",""ambient""],""moods"":[""calm"",""night"",""soft""],""tempo"":""slow"",""release_type"":""existing_catalog""},""match_reason"":{""mood_match"":true,""soft_recommendation"":true},""reason_tags"":[""soft"",""calm"",""ambient""]}"
recommend_030,taste_expansion,rnb/indie 중심 사용자에게 dream_pop과 ambient를 실험적으로 제안할 수 있는 곡,track_004,"{""catalog"":{""content_id"":""track_004"",""title"":""Soft Orbit"",""artist"":""Luna Field"",""album"":""Orbit Notes"",""genres"":[""dream_pop"",""ambient""],""moods"":[""calm"",""night"",""soft""],""tempo"":""slow"",""release_type"":""existing_catalog""},""match_reason"":{""new_taste_expansion"":true,""mood_match"":true},""reason_tags"":[""taste_expansion"",""dream_pop"",""ambient""]}"
